VehicleName,Timestamp,Latitude,Longitude,RoadTemp
208564,2014-02-21 18:00:19.000000,45.2938,-93.79281,11.3
208564,2014-02-21 18:10:13.000000,45.27477,-93.73539,14.0
208564,2014-02-21 18:20:17.000000,45.23806,-93.64936,13.3
208564,2014-02-21 18:30:13.000000,45.2177,-93.59766,15.5
208564,2014-02-21 18:42:15.000000,45.24021,-93.65695,11.5
208564,2014-02-21 18:50:13.000000,45.26656,-93.71861,12.0
208564,2014-02-21 19:00:17.000000,45.2937,-93.78551,9.8
208564,2014-02-22 07:23:31.000000,45.29333,-93.79231,57.5
208564,2014-02-22 07:30:16.000000,45.29273,-93.79212,4.8
208564,2014-02-22 07:40:10.000000,45.29275,-93.79184,6.3
208564,2014-02-22 07:50:14.000000,45.29308,-93.79195,9.5
208564,2014-02-22 08:00:16.000000,45.29377,-93.79278,2.8
208564,2014-02-22 08:10:10.000000,45.29486,-93.78322,6.0
208564,2014-02-22 08:20:12.000000,45.2978,-93.79483,5.8
208564,2014-02-22 08:30:12.000000,45.32306,-93.84439,5.8
208564,2014-02-22 08:40:12.000000,45.3467,-93.89224,7.3
208564,2014-02-22 08:50:14.000000,45.36166,-93.94707,9.0
208564,2014-02-22 09:00:14.000000,45.38142,-94.00582,10.0
208564,2014-02-22 09:10:14.000000,45.40696,-94.04746,8.8
208564,2014-02-22 09:20:14.000000,45.41064,-94.05495,9.5
208564,2014-02-22 09:30:14.000000,45.37946,-94.00324,10.3
208564,2014-02-22 09:40:12.000000,45.35873,-93.93935,13.5
208564,2014-02-22 09:50:12.000000,45.34076,-93.87979,14.5
208564,2014-02-22 10:00:12.000000,45.31009,-93.82423,11.3
208564,2014-02-22 10:10:12.000000,45.29304,-93.79188,11.5
208564,2014-02-22 10:21:24.000000,45.29276,-93.79187,15.0
208564,2014-02-22 10:30:28.000000,45.29018,-93.77047,22.0
208564,2014-02-22 10:40:26.000000,45.30261,-93.81443,19.5
208564,2014-02-22 10:50:00.000000,45.32669,-93.84944,23.3
208564,2014-02-22 11:00:00.000000,45.34485,-93.88817,22.3
208564,2014-02-22 11:10:28.000000,45.35698,-93.93385,22.8
208564,2014-02-22 11:20:28.000000,45.36901,-93.98136,23.0
208564,2014-02-22 11:30:00.000000,45.38994,-94.01564,20.3
208564,2014-02-22 11:40:24.000000,45.41356,-94.06103,21.8
208564,2014-02-22 11:50:26.000000,45.40698,-94.04816,22.8
208564,2014-02-22 12:00:00.000000,45.38182,-94.00676,24.5
208564,2014-02-22 12:10:26.000000,45.36186,-93.9485,26.5
208564,2014-02-22 12:20:28.000000,45.34631,-93.892,25.3
208564,2014-02-22 12:30:28.000000,45.31879,-93.8389,18.0
208564,2014-02-22 12:40:28.000000,45.29492,-93.78328,21.5
208564,2014-02-22 13:25:20.000000,45.293,-93.79191,29.8
208564,2014-02-22 13:30:18.000000,45.29276,-93.79184,24.3
208564,2014-02-22 13:40:14.000000,45.28903,-93.77131,19.5
208564,2014-02-22 13:50:18.000000,45.31213,-93.82641,24.8
208564,2014-02-22 14:00:16.000000,45.34757,-93.89416,24.5
208564,2014-02-22 14:10:16.000000,45.36976,-93.98325,26.3
208564,2014-02-22 14:20:16.000000,45.40247,-94.03911,22.3
208564,2014-02-22 14:30:18.000000,45.40969,-94.05324,23.8
208564,2014-02-22 14:40:18.000000,45.37844,-94.00121,25.3
208564,2014-02-22 14:50:18.000000,45.35515,-93.92829,25.5
208564,2014-02-22 15:00:14.000000,45.32624,-93.8493,26.8
208564,2014-02-22 15:10:14.000000,45.29596,-93.79975,27.5
208564,2014-02-22 15:20:18.000000,45.29589,-93.80056,25.5
208564,2014-02-22 15:43:13.000000,45.29282,-93.79193,26.8
208564,2014-02-22 15:50:09.000000,45.29296,-93.77741,20.8
208564,2014-02-22 16:00:09.000000,45.2648,-93.71621,18.0
208564,2014-02-22 16:10:11.000000,45.29014,-93.768,19.5
208564,2014-02-22 16:20:07.000000,45.28965,-93.77048,19.8
208564,2014-02-22 16:30:07.000000,45.29105,-93.77168,17.3
208564,2014-02-22 16:40:07.000000,45.26206,-93.71197,19.8
208564,2014-02-22 16:50:09.000000,45.24214,-93.66689,20.3
208564,2014-02-22 17:00:05.000000,45.22691,-93.61448,16.8
208564,2014-02-22 17:10:07.000000,45.19684,-93.55749,14.8
208564,2014-02-22 17:20:09.000000,45.21523,-93.59107,16.0
208564,2014-02-22 17:30:09.000000,45.23689,-93.6472,14.3
208564,2014-02-22 17:40:05.000000,45.25294,-93.69338,12.0
208564,2014-02-22 17:50:07.000000,45.27041,-93.72571,11.5
208564,2014-02-22 18:00:09.000000,45.29788,-93.79471,11.3
208564,2014-02-22 18:10:11.000000,45.28931,-93.76339,10.8
208564,2014-02-22 18:20:05.000000,45.2677,-93.72227,12.0
208564,2014-02-22 18:30:07.000000,45.24685,-93.6794,11.0
208564,2014-02-22 18:40:07.000000,45.22967,-93.62858,11.0
208564,2014-02-22 18:50:07.000000,45.22021,-93.59849,12.8
208564,2014-02-22 19:00:07.000000,45.2493,-93.68487,9.8
208564,2014-02-22 19:10:09.000000,45.28867,-93.75627,9.0
208564,2014-02-22 19:20:09.000000,45.29429,-93.78061,8.8
208564,2014-02-22 19:30:09.000000,45.29355,-93.7925,9.3
208564,2014-02-22 19:40:03.000000,45.29355,-93.79249,8.5
208564,2014-02-22 19:50:09.000000,45.26708,-93.72119,9.3
208564,2014-02-22 20:00:09.000000,45.24569,-93.67577,8.0
208564,2014-02-22 20:10:09.000000,45.29016,-93.76646,6.3
208564,2014-02-22 20:20:11.000000,45.2933,-93.79249,30.5
208564,2014-02-22 20:30:09.000000,45.3153,-93.77383,5.8
208564,2014-02-22 20:40:09.000000,45.33277,-93.74625,9.8
208564,2014-02-22 20:50:11.000000,45.31654,-93.77165,4.3
208564,2014-02-22 21:00:05.000000,45.29713,-93.80038,7.5
208564,2014-02-22 21:10:07.000000,45.26822,-93.81908,5.3
208564,2014-02-22 21:20:07.000000,45.24275,-93.84494,3.8
208564,2014-02-22 21:30:09.000000,45.21047,-93.85599,5.8
208564,2014-02-22 21:40:09.000000,45.18245,-93.87606,8.0
208564,2014-02-22 21:50:05.000000,45.24098,-93.84605,5.0
208564,2014-02-22 22:00:07.000000,45.29635,-93.79903,10.0
208564,2014-02-22 22:10:07.000000,45.29653,-93.79902,4.3
208564,2014-02-22 22:20:09.000000,45.29295,-93.79183,6.5
204557,2014-02-19 03:09:53.000000,46.7022,-92.27611,26.5
204557,2014-02-19 03:10:22.000000,46.70337,-92.2781,25.3
204557,2014-02-19 03:23:21.000000,46.72547,-92.21815,19.0
204557,2014-02-19 03:30:23.000000,46.75946,-92.12838,20.8
204557,2014-02-19 03:40:23.000000,46.79861,-92.10811,20.8
204557,2014-02-19 03:50:23.000000,46.7984,-92.11097,19.8
204557,2014-02-19 04:00:23.000000,46.75496,-92.10431,21.8
204557,2014-02-19 04:10:21.000000,46.79866,-92.11141,19.8
204557,2014-02-19 04:20:21.000000,46.75792,-92.10988,19.5
204557,2014-02-19 04:30:19.000000,46.79936,-92.11458,20.3
