VehicleName,Timestamp,Latitude,Longitude,RoadCondition
204550,2014-02-20 13:14:15.000000,44.72479,-92.84046,7
204550,2014-02-20 18:10:47.000000,44.63109,-92.99486,7
204550,2014-02-21 03:48:05.000000,44.539,-92.93859,8
204550,2014-02-21 08:40:57.000000,44.73346,-93.03513,1
204551,2014-02-20 03:19:32.000000,44.98216,-93.288,1
204551,2014-02-20 22:12:16.000000,44.98932,-93.08996,5
204551,2014-02-21 04:32:06.000000,44.97381,-93.09075,10
204558,2014-02-20 18:16:03.000000,47.30324,-91.25056,10
204558,2014-02-21 16:19:35.000000,47.59586,-91.34271,10
204559,2014-02-21 00:55:30.000000,46.6634,-92.46544,4
204562,2014-02-22 04:23:18.000000,48.19164,-96.77059,10
204564,2014-02-20 13:15:43.000000,47.35781,-93.79485,5
204564,2014-02-20 20:26:05.000000,47.4759,-94.03505,5
204564,2014-02-21 04:26:17.000000,47.33766,-93.80509,7
204564,2014-02-21 07:23:27.000000,47.3242,-93.95312,7
204564,2014-02-21 09:57:37.000000,47.33952,-93.8124,7
204564,2014-02-21 13:45:19.000000,47.35442,-94.29237,5
204565,2014-02-20 18:10:20.000000,46.34659,-93.96455,7
204567,2014-02-20 10:42:39.000000,45.57525,-94.20701,0
204567,2014-02-20 12:45:28.000000,45.60208,-94.39123,5
204567,2014-02-20 14:56:46.000000,45.54799,-94.32746,3
204567,2014-02-20 16:19:26.000000,45.5529,-94.20504,5
204567,2014-02-20 18:29:06.000000,45.57343,-94.20697,5
204567,2014-02-20 20:38:21.000000,45.54866,-94.20534,5
204567,2014-02-20 23:09:37.000000,45.58908,-94.19722,5
204567,2014-02-21 00:29:23.000000,45.57501,-94.20683,0
204567,2014-02-21 01:35:15.000000,45.49842,-94.22722,0
204567,2014-02-21 18:32:39.000000,45.57702,-94.20595,7
204567,2014-02-21 21:03:11.000000,45.49844,-94.21362,8
204569,2014-02-21 04:44:37.000000,45.80641,-96.49021,1
204571,2014-02-20 04:43:22.000000,46.32512,-95.45788,10
204571,2014-02-20 06:45:53.000000,46.42669,-95.57844,7
204571,2014-02-20 17:09:11.000000,46.32583,-95.21568,10
204571,2014-02-20 19:14:23.000000,46.32032,-95.44288,10
204571,2014-02-21 11:09:04.000000,46.32037,-95.44289,1
204572,2014-02-19 05:02:07.000000,45.84119,-95.9863,1
204572,2014-02-20 03:29:21.000000,45.9919,-95.81997,1
204572,2014-02-20 16:26:38.000000,45.93438,-95.58047,7
204572,2014-02-20 18:27:04.000000,45.99875,-95.71654,10
204572,2014-02-20 20:35:34.000000,46.00906,-95.75332,10
204573,2014-02-19 21:09:50.000000,45.86005,-95.40839,10
204573,2014-02-19 23:21:50.000000,45.83273,-95.16967,10
204573,2014-02-21 03:20:15.000000,45.85873,-95.39896,10
204573,2014-02-21 05:33:34.000000,45.83237,-95.79669,10
204573,2014-02-21 07:39:20.000000,45.75046,-95.53071,10
204573,2014-02-21 10:52:52.000000,45.85894,-95.39864,10
204573,2014-02-21 18:18:07.000000,45.85353,-95.46812,10
204573,2014-02-21 20:50:23.000000,45.82492,-95.70018,10
204574,2014-02-20 14:19:45.000000,43.6731,-92.06538,0
204574,2014-02-20 16:27:36.000000,43.7223,-91.96021,3
204574,2014-02-20 17:01:10.000000,43.67305,-92.06535,5
204574,2014-02-20 21:39:53.000000,43.76296,-91.96217,0
204574,2014-02-20 23:42:55.000000,43.66445,-92.03737,10
204574,2014-02-21 02:54:06.000000,43.71399,-91.97254,10
204574,2014-02-21 04:55:16.000000,43.80599,-91.95,0
204574,2014-02-21 07:47:02.000000,43.68121,-92.19445,0
204574,2014-02-21 14:36:19.000000,43.67496,-92.07931,0
204574,2014-02-21 18:59:29.000000,43.68088,-92.17034,7
204574,2014-02-22 00:54:45.000000,43.67769,-92.08929,10
204575,2014-02-20 06:09:50.000000,44.06968,-92.507,1
204575,2014-02-21 00:25:59.000000,44.06971,-92.50693,10
204575,2014-02-21 02:29:05.000000,44.13968,-92.52669,10
204575,2014-02-21 04:29:39.000000,44.14677,-92.52914,10
204575,2014-02-21 06:31:27.000000,44.07653,-92.50703,10
204575,2014-02-21 07:19:22.000000,44.06999,-92.50642,10
204575,2014-02-21 09:21:56.000000,44.18406,-92.57723,10
204575,2014-02-22 00:25:37.000000,44.06971,-92.50693,7
204575,2014-02-22 02:58:59.000000,44.07007,-92.50635,7
204575,2014-02-22 04:59:18.000000,44.16643,-92.54644,7
204575,2014-02-22 07:24:00.000000,44.06962,-92.50618,7
204581,2014-02-19 13:59:53.000000,43.85727,-95.10263,1
204581,2014-02-20 09:58:12.000000,43.95589,-95.12002,5
204581,2014-02-20 13:35:09.000000,44.05079,-95.12008,10
204581,2014-02-20 16:14:41.000000,43.99101,-95.1196,10
204581,2014-02-20 18:26:27.000000,43.90139,-95.12023,10
204581,2014-02-20 20:33:17.000000,43.86236,-95.12885,10
204582,2014-02-20 14:38:03.000000,44.93035,-94.4903,5
204582,2014-02-20 16:51:39.000000,45.04057,-94.36124,5
204582,2014-02-20 19:03:03.000000,44.99375,-94.69632,10
204582,2014-02-20 21:18:01.000000,44.89364,-94.42111,10
204582,2014-02-22 11:44:31.000000,45.03421,-94.69651,1
204582,2014-02-22 17:24:27.000000,44.94959,-94.6965,1
204583,2014-02-20 17:25:42.000000,45.97686,-94.56734,5
204584,2014-02-19 16:23:47.000000,44.81762,-93.22237,0
204584,2014-02-19 23:32:21.000000,44.96687,-93.22472,7
204584,2014-02-21 10:04:14.000000,44.88507,-93.24502,0
205500,2014-02-19 05:39:35.000000,44.97108,-93.48736,7
205500,2014-02-19 05:54:49.000000,45.00458,-93.64894,0
205500,2014-02-19 06:29:31.000000,44.97446,-93.40017,3
205500,2014-02-19 06:38:11.000000,45.00475,-93.46228,4
205500,2014-02-19 06:57:45.000000,45.00448,-93.46304,1
205500,2014-02-20 10:16:49.000000,45.00424,-93.46368,0
205500,2014-02-20 11:28:53.000000,44.97059,-93.30945,0
205500,2014-02-20 20:12:31.000000,45.00414,-93.46268,0
205500,2014-02-20 20:29:37.000000,44.98555,-93.58041,5
205500,2014-02-20 22:28:21.000000,45.00956,-93.66406,1
205500,2014-02-20 23:21:53.000000,44.98561,-93.59875,0
205500,2014-02-21 00:42:19.000000,45.00953,-93.66398,7
205500,2014-02-21 02:23:23.000000,45.00425,-93.46309,1
205500,2014-02-21 02:40:43.000000,45.00423,-93.46308,0
205500,2014-02-21 06:49:18.000000,45.00499,-93.46224,4
205500,2014-02-21 07:17:52.000000,45.00451,-93.46434,0
205500,2014-02-21 17:34:00.000000,44.97274,-93.38982,0
205500,2014-02-22 08:50:18.000000,45.00462,-93.46519,0
205502,2014-02-19 03:40:10.000000,45.12811,-93.43471,7
205502,2014-02-20 18:02:50.000000,45.12914,-93.43243,4
205502,2014-02-20 23:24:53.000000,45.09099,-93.43294,5
205502,2014-02-21 01:47:59.000000,45.07901,-93.38985,10
205502,2014-02-21 05:10:51.000000,45.16517,-93.52403,7
