lat,lon,count
42.2851,-83.7458,70135
42.2851,-83.7457,106
42.2851,-83.7456,2
42.2851,-83.7455,2
42.2851,-83.7451,6
42.2851,-83.745,613
42.2851,-83.7449,8957
42.2851,-83.7448,1803
42.2851,-83.7447,8
42.2852,-83.7501,2
42.2852,-83.7499,4
42.2852,-83.7497,18
42.2852,-83.7496,1762
42.2852,-83.7495,103
42.2852,-83.7494,2
42.2852,-83.749,2
42.2852,-83.7485,9
42.2852,-83.7484,9847
42.2852,-83.7483,26395
42.2852,-83.7482,2042
42.2852,-83.7481,1
42.2852,-83.7479,3
42.2852,-83.7478,26
42.2852,-83.7477,2811
42.2852,-83.7476,36718
42.2852,-83.7475,38199
42.2852,-83.7474,8835
42.2852,-83.7473,276
42.2852,-83.7472,13
42.2852,-83.7471,3473
42.2852,-83.747,3099
42.2852,-83.7468,2
42.2852,-83.7464,2
42.2852,-83.7463,2
42.2852,-83.7459,7654
42.2852,-83.7458,52268
42.2852,-83.7457,164
42.2852,-83.745,2
42.2852,-83.7449,452
42.2852,-83.7448,8647
42.2852,-83.7447,795
42.2852,-83.7446,8
42.2853,-83.7502,2
42.2853,-83.7497,18
42.2853,-83.7496,1599
42.2853,-83.7495,267
42.2853,-83.7494,2
42.2853,-83.749,2
42.2853,-83.7488,2
42.2853,-83.7485,12
42.2853,-83.7484,7299
42.2853,-83.7483,21900
42.2853,-83.7482,3703
42.2853,-83.748,1
42.2853,-83.7479,2
42.2853,-83.7477,5
42.2853,-83.7476,38
42.2853,-83.7475,2973
42.2853,-83.7474,27179
42.2853,-83.7473,32461
42.2853,-83.7472,7788
42.2853,-83.7471,5257
42.2853,-83.747,8548
42.2853,-83.7469,15
42.2853,-83.7459,2264
42.2853,-83.7458,48147
42.2853,-83.7457,243
42.2853,-83.7455,4
42.2853,-83.7449,2
42.2853,-83.7448,1030
42.2853,-83.7447,8825
42.2853,-83.7446,876
42.2853,-83.7445,6
42.2854,-83.75,2
42.2854,-83.7497,24
42.2854,-83.7496,1272
42.2854,-83.7495,715
42.2854,-83.7494,4
42.2854,-83.7489,2
42.2854,-83.7485,12
42.2854,-83.7484,4950
42.2854,-83.7483,21145
42.2854,-83.7482,6046
42.2854,-83.748,1
42.2854,-83.7479,1
42.2854,-83.7475,2
42.2854,-83.7474,11
42.2854,-83.7473,1556
42.2854,-83.7472,15675
42.2854,-83.7471,28500
42.2854,-83.747,19565
42.2854,-83.7469,2676
42.2854,-83.7468,58
42.2854,-83.7467,20
42.2854,-83.7465,1
42.2854,-83.7463,2
42.2854,-83.7459,477
42.2854,-83.7458,48684
42.2854,-83.7457,346
42.2854,-83.7455,2
42.2854,-83.7454,2
42.2854,-83.7448,1
42.2854,-83.7447,1043
42.2854,-83.7446,9464
42.2854,-83.7445,1582
42.2854,-83.7444,10
42.2854,-83.744,12
42.2854,-83.7439,2
42.2855,-83.7508,2
42.2855,-83.7497,16
42.2855,-83.7496,727
42.2855,-83.7495,987
42.2855,-83.7494,5
42.2855,-83.7485,10
42.2855,-83.7484,2290
42.2855,-83.7483,17302
42.2855,-83.7482,6670
42.2855,-83.7479,1
42.2855,-83.7478,2
42.2855,-83.7472,5
42.2855,-83.7471,5897
42.2855,-83.747,10896
42.2855,-83.7469,22698
42.2855,-83.7468,20891
42.2855,-83.7467,4207
42.2855,-83.7466,71
42.2855,-83.7465,27
42.2855,-83.7464,5
42.2855,-83.7462,3
42.2855,-83.7461,5
42.2855,-83.7459,793
42.2855,-83.7458,41707
42.2855,-83.7457,462
42.2855,-83.7446,540
42.2855,-83.7445,9245
42.2855,-83.7444,1791
42.2855,-83.7443,10
42.2855,-83.744,23
