lat,lon,count
42.2886,-83.7455,1
42.2886,-83.7449,8
42.2887,-83.7493,3
42.2887,-83.7492,137
42.2887,-83.7491,113
42.2887,-83.749,3
42.2887,-83.7489,8
42.2887,-83.7488,94
42.2887,-83.7487,809
42.2887,-83.7486,1224
42.2887,-83.7485,1708
42.2887,-83.7484,1640
42.2887,-83.7483,1493
42.2887,-83.7482,1458
42.2887,-83.7481,966
42.2887,-83.748,431
42.2887,-83.7479,31
42.2887,-83.7478,10
42.2887,-83.7477,7
42.2887,-83.7476,3
42.2887,-83.7475,18
42.2887,-83.7474,17092
42.2887,-83.7473,23417
42.2887,-83.7472,3416
42.2887,-83.7466,9
42.2887,-83.7465,1985
42.2887,-83.7464,5744
42.2887,-83.7463,9857
42.2887,-83.7462,11217
42.2887,-83.7461,6687
42.2887,-83.746,2195
42.2887,-83.7459,317
42.2887,-83.7458,4
42.2887,-83.7454,2
42.2887,-83.7426,2
42.2888,-83.75,1
42.2888,-83.7493,10
42.2888,-83.7492,122
42.2888,-83.7491,615
42.2888,-83.749,1169
42.2888,-83.7489,1140
42.2888,-83.7488,1457
42.2888,-83.7487,1418
42.2888,-83.7486,877
42.2888,-83.7485,198
42.2888,-83.7484,25
42.2888,-83.7483,10
42.2888,-83.7482,5
42.2888,-83.7481,5
42.2888,-83.7475,11
42.2888,-83.7474,8953
42.2888,-83.7473,16713
42.2888,-83.7472,23800
42.2888,-83.7471,3
42.2888,-83.7469,14
42.2888,-83.7468,1391
42.2888,-83.7467,6423
42.2888,-83.7466,10498
42.2888,-83.7465,13634
42.2888,-83.7464,7554
42.2888,-83.7463,2746
42.2888,-83.7462,312
42.2888,-83.7461,185
42.2888,-83.7459,6
42.2889,-83.7498,2
42.2889,-83.7497,20
42.2889,-83.7496,162
42.2889,-83.7495,541
42.2889,-83.7494,729
42.2889,-83.7493,679
42.2889,-83.7492,713
42.2889,-83.7491,363
42.2889,-83.749,1217
42.2889,-83.7489,43
42.2889,-83.7488,5
42.2889,-83.7487,4
42.2889,-83.7486,6
42.2889,-83.7475,12
42.2889,-83.7474,2882
42.2889,-83.7473,11848
42.2889,-83.7472,12179
42.2889,-83.7471,6061
42.2889,-83.747,10154
42.2889,-83.7469,13445
42.2889,-83.7468,16891
42.2889,-83.7467,13472
42.2889,-83.7466,6216
42.2889,-83.7465,675
42.2889,-83.7464,63
42.2889,-83.7463,32
42.289,-83.7513,2
42.289,-83.7511,1
42.289,-83.751,3
42.289,-83.7509,5
42.289,-83.7508,3
42.289,-83.7507,14
42.289,-83.7506,8
42.289,-83.7505,9
42.289,-83.7504,10
42.289,-83.7503,17
42.289,-83.7502,20
42.289,-83.7501,26
42.289,-83.75,81
42.289,-83.7499,113
42.289,-83.7498,229
42.289,-83.7497,286
42.289,-83.7496,381
42.289,-83.7495,138
42.289,-83.7494,13
42.289,-83.7493,10
42.289,-83.7492,6
42.289,-83.7491,4
42.289,-83.749,607
42.289,-83.7489,246
42.289,-83.7475,6
42.289,-83.7474,97
42.289,-83.7473,8133
42.289,-83.7472,15517
42.289,-83.7471,32913
42.289,-83.747,35512
42.289,-83.7469,12898
42.289,-83.7468,2039
42.289,-83.7467,62
42.289,-83.7466,25
42.2891,-83.751,1
42.2891,-83.7509,1
42.2891,-83.7508,7
42.2891,-83.7507,4
42.2891,-83.7506,5
42.2891,-83.7505,7
42.2891,-83.7504,3
42.2891,-83.7503,7
42.2891,-83.7502,5
42.2891,-83.7501,7
42.2891,-83.75,10
42.2891,-83.7498,3
42.2891,-83.7497,5
42.2891,-83.7496,2
42.2891,-83.7495,2
42.2891,-83.7494,1
42.2891,-83.749,6
42.2891,-83.7489,259
42.2891,-83.7488,20
42.2891,-83.7475,11
42.2891,-83.7474,29
42.2891,-83.7473,8243
42.2891,-83.7472,33507
42.2891,-83.7471,9352
42.2891,-83.747,186
42.2891,-83.7469,12
42.2892,-83.7502,1
42.2892,-83.7501,3
42.2892,-83.75,1
42.2892,-83.7499,2
42.2892,-83.7489,13
42.2892,-83.7488,179
42.2892,-83.7487,20
42.2892,-83.7475,11
42.2892,-83.7474,13
42.2892,-83.7473,10292
42.2892,-83.7472,43065
42.2892,-83.7471,10086
42.2892,-83.747,22
42.2893,-83.7488,28
42.2893,-83.7487,133
42.2893,-83.7486,18
42.2893,-83.7475,8
42.2893,-83.7474,9
42.2893,-83.7473,1799
42.2893,-83.7472,27199
42.2893,-83.7471,15943
42.2893,-83.747,134
42.2893,-83.7469,7
42.2894,-83.7523,2
42.2894,-83.7487,46
42.2894,-83.7486,442
42.2894,-83.7485,29
42.2894,-83.7475,7
42.2894,-83.7474,5
42.2894,-83.7473,37
42.2894,-83.7472,9823
42.2894,-83.7471,23196
42.2894,-83.747,2430
42.2894,-83.7469,4
42.2895,-83.7524,2
42.2895,-83.7486,36
42.2895,-83.7485,232
42.2895,-83.7484,29
42.2895,-83.7475,2
42.2895,-83.7474,6
42.2895,-83.7473,25
42.2895,-83.7472,3835
42.2895,-83.7471,21221
42.2895,-83.747,5711
42.2895,-83.7469,7
42.2896,-83.7529,1
42.2896,-83.7485,36
42.2896,-83.7484,392
42.2896,-83.7483,30
42.2896,-83.7474,4
42.2896,-83.7473,22
42.2896,-83.7472,1830
42.2896,-83.7471,15900
42.2896,-83.747,7758
42.2896,-83.7469,27
42.2897,-83.7484,50
42.2897,-83.7483,498
42.2897,-83.7482,37
42.2897,-83.7474,6
42.2897,-83.7473,12
42.2897,-83.7472,371
42.2897,-83.7471,12343
42.2897,-83.747,9539
42.2897,-83.7469,83
42.2898,-83.7483,76
42.2898,-83.7482,663
42.2898,-83.7481,41
42.2898,-83.7474,5
42.2898,-83.7473,12
42.2898,-83.7472,46
42.2898,-83.7471,8028
42.2898,-83.747,12765
42.2898,-83.7469,362
42.2899,-83.7482,92
42.2899,-83.7481,609
42.2899,-83.748,17
42.2899,-83.7474,1
42.2899,-83.7473,2
42.2899,-83.7472,23
42.2899,-83.7471,6614
42.2899,-83.747,13843
42.2899,-83.7469,760
42.29,-83.7516,4
42.29,-83.7481,123
42.29,-83.748,586
42.29,-83.7479,8
42.29,-83.7473,5
42.29,-83.7472,34
42.29,-83.7471,5643
42.29,-83.747,12153
42.29,-83.7469,914
42.2901,-83.7481,1
42.2901,-83.748,219
42.2901,-83.7479,566
42.2901,-83.7478,1
42.2901,-83.7473,4
42.2901,-83.7472,23
42.2901,-83.7471,5385
42.2901,-83.747,11572
42.2901,-83.7469,672
42.2902,-83.748,2
42.2902,-83.7479,369
42.2902,-83.7478,394
42.2902,-83.7473,3
42.2902,-83.7472,18
42.2902,-83.7471,5973
42.2902,-83.747,11368
42.2902,-83.7469,307
42.2903,-83.7479,2
42.2903,-83.7478,539
42.2903,-83.7477,407
42.2903,-83.7473,2
42.2903,-83.7471,8342
42.2903,-83.747,9289
42.2903,-83.7469,118
42.2903,-83.7463,4
42.2904,-83.7479,1
42.2904,-83.7478,11
42.2904,-83.7477,952
42.2904,-83.7476,118
42.2904,-83.7473,2
42.2904,-83.7471,9527
42.2904,-83.747,7914
42.2904,-83.7469,80
42.2905,-83.7478,17
42.2905,-83.7477,657
42.2905,-83.7476,162
42.2905,-83.7472,5
42.2905,-83.7471,9727
42.2905,-83.747,7244
42.2905,-83.7469,41
42.2906,-83.748,2
42.2906,-83.7479,58
42.2906,-83.7478,578
42.2906,-83.7477,389
42.2906,-83.7476,2
42.2906,-83.7474,2
42.2906,-83.7473,4
42.2906,-83.7472,10
42.2906,-83.7471,9893
42.2906,-83.747,6694
42.2906,-83.7469,33
42.2907,-83.7481,2
42.2907,-83.748,61
42.2907,-83.7479,218
42.2907,-83.7478,82
42.2907,-83.7474,5
42.2907,-83.7473,6
42.2907,-83.7472,32
42.2907,-83.7471,9577
42.2907,-83.747,6100
42.2907,-83.7469,52
42.2908,-83.7482,6
42.2908,-83.7481,36
42.2908,-83.748,15
42.2908,-83.7474,2
42.2908,-83.7473,3
42.2908,-83.7472,44
42.2908,-83.7471,8604
42.2908,-83.747,5106
42.2908,-83.7469,39
42.2909,-83.7484,1
42.2909,-83.7483,10
42.2909,-83.7482,9
42.2909,-83.7481,1
42.2909,-83.7474,3
42.2909,-83.7473,1
42.2909,-83.7472,130
42.2909,-83.7471,6882
42.2909,-83.747,4267
42.2909,-83.7469,30
42.291,-83.7484,1
42.291,-83.7483,2
42.291,-83.7474,3
42.291,-83.7473,1
42.291,-83.7472,420
42.291,-83.7471,6733
42.291,-83.747,3480
42.291,-83.7469,16
42.2911,-83.7474,4
42.2911,-83.7473,3
42.2911,-83.7472,690
42.2911,-83.7471,6451
42.2911,-83.747,2994
42.2911,-83.7469,3
42.2912,-83.7474,2
42.2912,-83.7473,5
42.2912,-83.7472,1066
42.2912,-83.7471,5917
42.2912,-83.747,2238
42.2912,-83.7469,1
42.2912,-83.7434,4
42.2912,-83.7423,4
42.2913,-83.749,1
42.2913,-83.7474,2
42.2913,-83.7473,1
42.2913,-83.7472,1180
42.2913,-83.7471,5970
42.2913,-83.747,1414
42.2914,-83.7474,3
42.2914,-83.7472,1152
42.2914,-83.7471,5488
42.2914,-83.747,688
42.2915,-83.7474,2
42.2915,-83.7472,1203
42.2915,-83.7471,4725
42.2915,-83.747,263
42.2915,-83.744,2
42.2916,-83.7472,1679
42.2916,-83.7471,4001
42.2916,-83.747,104
42.2917,-83.7475,1
42.2917,-83.7474,2
42.2917,-83.7473,1
42.2917,-83.7472,2618
42.2917,-83.7471,3993
42.2917,-83.747,84
42.2918,-83.7475,4
42.2918,-83.7473,4
42.2918,-83.7472,3789
42.2918,-83.7471,4174
42.2918,-83.747,67
42.2919,-83.7475,3
42.2919,-83.7473,7
42.2919,-83.7472,3619
42.2919,-83.7471,3791
42.2919,-83.747,34
42.292,-83.7475,4
42.292,-83.7473,6
42.292,-83.7472,3049
42.292,-83.7471,3208
42.292,-83.747,7
42.2921,-83.7475,2
42.2921,-83.7473,38
42.2921,-83.7472,2469
42.2921,-83.7471,2405
42.2921,-83.747,3
42.2921,-83.7467,2
