RxDevice,FileId,TxDevice,GenTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence
1566,1158354,1566,291864250684352,-9018,107,44600,42.409729,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250784355,-9018,108,44700,42.409721,-83.874207,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250884353,-9018,109,44800,42.409698,-83.874199,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864250984371,-9018,110,44900,42.409691,-83.874199,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864251084396,-9018,111,45000,42.409672,-83.874199,268.89999,18.1,176.21249,-0.07,0.15000001,-0.1,0.5,2.0,3276.7,97
1566,1158354,1566,291864251184379,-9018,112,45100,42.409649,-83.874191,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251284368,-9018,113,45200,42.40963,-83.874191,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251384358,-9018,114,45300,42.409618,-83.874191,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251484353,-9018,115,45400,42.409599,-83.874191,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251584356,-9018,116,45500,42.40958,-83.874184,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251684358,-9018,117,45600,42.409569,-83.874184,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251784368,-9018,118,45700,42.40955,-83.874184,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251884362,-9018,119,45800,42.409538,-83.874184,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864251984351,-9018,120,45900,42.409519,-83.874184,269.10001,18.120001,175.625,9.9999998E-3,9.0000004E-2,-0.1,0.34,2.0,3276.7,95
1566,1158354,1566,291864252084358,-9018,121,46000,42.4095,-83.874184,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252184344,-9018,122,46100,42.409489,-83.874184,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252284352,-9018,123,46200,42.40947,-83.874184,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252384349,-9018,124,46300,42.409451,-83.874168,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252484350,-9018,125,46400,42.409439,-83.874168,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252584348,-9018,126,46500,42.40942,-83.874168,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252684349,-9018,127,46600,42.409401,-83.874168,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252784351,-9018,0,46700,42.409389,-83.874161,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252884351,-9018,1,46800,42.40937,-83.874161,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864252984357,-9018,2,46900,42.409359,-83.874161,268.89999,18.040001,175.2375,-9.0000004E-2,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253084367,-9018,3,47000,42.40934,-83.874161,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253184348,-9018,4,47100,42.409321,-83.874161,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253284350,-9018,5,47200,42.409309,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253384349,-9018,6,47300,42.40929,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253484351,-9018,7,47400,42.409271,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253584347,-9018,8,47500,42.40926,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253684333,-9018,9,47600,42.409241,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253784337,-9018,10,47700,42.409229,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253884345,-9018,11,47800,42.40921,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864253984349,-9018,12,47900,42.409191,-83.874153,268.60001,18.219999,175.47501,0.16,0.07,-0.12,0.23,2.0,3276.7,98
1566,1158354,1566,291864254084378,-9018,13,48000,42.409168,-83.874138,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254184352,-9018,14,48100,42.409149,-83.874138,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254284349,-9018,15,48200,42.409142,-83.874138,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254384364,-9018,16,48300,42.409119,-83.87413,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254484372,-9018,17,48400,42.4091,-83.87413,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254584366,-9018,18,48500,42.409081,-83.87413,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254684356,-9018,19,48600,42.409069,-83.87413,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254784338,-9018,20,48700,42.40905,-83.874123,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254884382,-9018,21,48800,42.409031,-83.874123,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864254984390,-9018,22,48900,42.409019,-83.874123,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864255084417,-9018,23,49000,42.409,-83.874123,268.10001,18.66,174.89999,0.41999999,2.9999999E-2,-0.12,0.11,2.0,3276.7,97
1566,1158354,1566,291864255184378,-9018,24,49100,42.408981,-83.874107,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255284377,-9018,25,49200,42.408958,-83.874107,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255384358,-9018,26,49300,42.408951,-83.874107,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255484361,-9018,27,49400,42.408932,-83.874107,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255584358,-9018,28,49500,42.408909,-83.874107,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255684370,-9018,29,49600,42.408901,-83.874107,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255784363,-9018,30,49700,42.408878,-83.8741,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255884358,-9018,31,49800,42.408859,-83.8741,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864255984362,-9018,32,49900,42.40884,-83.8741,268.0,19.08,174.60001,0.41999999,9.9999998E-3,-0.14,3.9999999E-2,2.0,3276.7,99
1566,1158354,1566,291864256084393,-9018,33,50000,42.408821,-83.8741,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256184367,-9018,34,50100,42.40881,-83.874092,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256284371,-9018,35,50200,42.408791,-83.874092,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
